dataID	context	indices_target_token	indices_target_sentence	lemma
1033_(Leviticus 18:22)	I zeroed in on the language required to answer the question. The entire Bible is very clear about man and woman being two halves of the whole as God intended. "Do not lie with a man as one lies with a woman; that is detestable"	160:226	0:227	You shall not lie with a male as with a woman; it is an abomination
1034_(Leviticus 18:22)	You do understand that this is a sin, right? It is confirmed by the holy bible:"You shall not lie with a male as with a woman; it is an abomination.." not tryna hate or anything (even tho I don't like/support LGBT) just letting people know. Take care!	80:147	0:251	You shall not lie with a male as with a woman; it is an abomination
1035_(Leviticus 18:22)	For those who are still confused about whether or not the Bible states that HOMOSEXUALITY IS A DETESTABLE SIN!! IT DOES!!!!!! 💁 ✝ "You shall not lie with a male as with a woman; it is an abomination.." 	131:198	0:202	You shall not lie with a male as with a woman; it is an abomination
1036_(Leviticus 18:22)	Toleration of priests is wrong!! You priests rape our kids!! Leviticus 18 22 ORIGINALLY said You shall not lie with a male as with a woman; it is an abomination. It was originally about pedophila NOT homosexuality. The church changed it.	93:160	0:237	You shall not lie with a male as with a woman; it is an abomination
1037_(Leviticus 18:22)	LGBT and PRIDE parade celebrations! DO NOT BECOME AN ACCOMPLICE IN PROMOTING SIN!"You shall not lie with a male as with a woman; it is an abomination."	82:149	0:151	You shall not lie with a male as with a woman; it is an abomination
1038_(Leviticus 18:22)	Everything lgbtq is wrong."You shall not lie with a male as with a woman; it is an abomination."	27:94	0:96	You shall not lie with a male as with a woman; it is an abomination
1039_(Leviticus 18:22)	the Bible contains several passages that refer to homosexuality as a sin. For example, in Leviticus 18:22, it says "You shall not lie with a male as with a woman; it is an abomination."	116:183	0:185	You shall not lie with a male as with a woman; it is an abomination
1040_(Leviticus 18:22)	That's disgusting how are you in love with a male? Find God and stop trying to love a male even though the Bible said. "You shall not lie with a male as with a woman; it is an abomination."	120:187	0:189	You shall not lie with a male as with a woman; it is an abomination
1041_(Leviticus 18:22)	You shall not lie with a male as with a woman. It is an abomination. I truly hope y'all find Jesus before it's too late. We all sin and the punishment for sin is Hell thats why we all need a savior.	0:67	0:198	You shall not lie with a male as with a woman; it is an abomination
1042_(Leviticus 18:22)	News flash: most Muslim sects and schools of thought do not approve of homosexuality. Same stuff as in the Old Testament."You shall not lie with a male as with a woman; it is an abomination.." 	122:189	0:193	You shall not lie with a male as with a woman; it is an abomination
1043_(Leviticus 18:22)	I hope you don't mind me elaborating some as to what I mean by 'dynamism' re: the topic of homosexuality. Famously, Leviticus 18:22 states "You shall not lie with a male as with a woman; it is an abomination."	140:207	0:209	You shall not lie with a male as with a woman; it is an abomination
1044_(Leviticus 18:22)	LGBTQ enrich our church? The Church and The Pope's job is to save soulscalling sinners to conversion and penance! It is written: You shall not lie with a male as with a woman; it is an abomination.	129:196	0:197	You shall not lie with a male as with a woman; it is an abomination
1045_(Leviticus 18:22)	"You shall not lie with a male as with a woman; it is an abomination." Homosexuality is wrong and the pride flag isn't a symbol of gay pride, it's a symbol of gods promise.	1:68	0:172	You shall not lie with a male as with a woman; it is an abomination
1046_(Leviticus 18:22)	For Christians in general (let alone priests, men of the cloth!), "leaving the natural use of the woman" has never been OK for God's people in the eyes of God."You shall not lie with a male as with a woman; it is an abomination."	160:227	0:229	You shall not lie with a male as with a woman; it is an abomination
1047_(Leviticus 18:22)	"You shall not lie with a male as with a woman; it is an abomination." The New Testament agrees, listing "homosexual offenders" among a list of people who "will not inherit the kingdom of God" unless they are cleansed through Christ 	1:68	0:233	You shall not lie with a male as with a woman; it is an abomination
1048_(Leviticus 18:22)	"You shall not lie with a male as with a woman; it is an abomination." find GOD. Blessings	1:68	0:90	You shall not lie with a male as with a woman; it is an abomination
1049_(Leviticus 18:22)	When your religion is easy to distort, you will make sin something lawful and from the Prophet to God like Jesus , praise be to God for Islam "You shall not lie with a male as with a woman; it is an abomination."	143:210	0:212	You shall not lie with a male as with a woman; it is an abomination
1050_(Leviticus 18:22)	Disgusting... "You shall not lie with a male as with a woman; it is an abomination."	15:82	0:84	You shall not lie with a male as with a woman; it is an abomination
