dataID	context	indices_target_token	indices_target_sentence	lemma
377_(Matthew 7:1)	I don't do drugs. Or drink alcohol. Way to go! You get a ticket to hell now for being a judgmental prick. Judge not, that ye be not judged, am I right? 	106:138	0:152	Judge not, that ye be not judged
360_(Matthew 7:1)	Many people use "Judge not, that ye be not judged" in an attempt to silence their critics, interpreting Jesus' meaning as "You don't have the right to tell me I'm wrong."	17:49	0:170	Judge not, that ye be not judged
372_(Matthew 7:1)	I am a recovering individual with alcohol use disorder. Such a sick burn, and totally not making fun of those with diseases, at all! You need to take a good hard look at yourself. Judge not, that ye be not judged. But besides, she does not have a face of an individual with alcoholism	180:212	0:284	Judge not, that ye be not judged
359_(Matthew 7:1)	Blah, blah, blah! Matthew 7: 1: Judge not, that ye be not judged. You can't even follow your own gods teachings. Hypocrite!	32:64	0:123	Judge not, that ye be not judged
362_(Matthew 7:1)	I don't agree with your bio at all plush but as a fellow sinner we're in the same boat. Judge not, that ye be not judged.	88:120	0:121	Judge not, that ye be not judged
366_(Matthew 7:1)	It's still bad. Hating gay people isn't part of the Muslim religion. and even if there was something resembling an aversion to homosexuality in the Qur'an, much like with the bible, there are passages about showing love and mercy to your enemy, and Judge not, that ye be not judged.	249:281	0:282	Judge not, that ye be not judged
373_(Matthew 7:1)	How is the United States addressing demand for illicit drugs? How is the United States addressing addiction to alcohol? Judge not, that ye be not judged.	120:152	0:153	Judge not, that ye be not judged
378_(Matthew 7:1)	Judge not, that ye be not judged? - People in Ontario embarrassed by the province's top selling alcohol during the pandemic	0:32	0:123	Judge not, that ye be not judged
388_(Matthew 7:1)	I know the scriptures say, Judge not, that ye be not judged, but I'm just gonna come out and say it. This Harvey Weinstein? This fella? This guy's a real jerk!	27:59	0:159	Judge not, that ye be not judged
375_(Matthew 7:1)	Everyone gets in a drug and alcohol fueled underpants hammerfight with a male prostitute from time to time, Judge not, that ye be not judged	108:140	0:140	Judge not, that ye be not judged
389_(Matthew 7:1)	So, Judge not, that ye be not judged doesn't apply anymore? Or, does it just not apply to idiots like you? Bet you made your Jesus real proud.	4:36	0:142	Judge not, that ye be not judged
365_(Matthew 7:1)	Homosexuality did not come from the West. Africans practiced it well before the arrival of the white man. Those who say #LGBTQ is against our culture are poor students of history. Plus it's also very common among Xtians & Muslims. Judge not, that ye be not judged	231:263	0:263	Judge not, that ye be not judged
