dataID	context	indices_target_token	indices_target_sentence	lemma
297_(Leviticus 20:13)	You Godless fools! You do not celebrate that which God has deemed an abomination! You shall not lie with a male as with a woman; it is an abomination. If a man lies with a male as with a woman, both of them have committed an abomination	151:192	0:236	If a man lies with a male as with a woman
319_(Leviticus 20:13)	We were put on this planet to love one another, just as God loved us first. But we were also put here to procreate. This is the reason why "If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death"	140:181	0:261	If a man lies with a male as with a woman
305_(Leviticus 20:13)	If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. Do not be fooled by the trojan horse that is gay pride.	0:41	0:203	If a man lies with a male as with a woman
324_(Leviticus 20:13)	I apologize if I sound overly religious, but may I please have your comment on this: If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them	85:126	0:231	If a man lies with a male as with a woman
311_(Leviticus 20:13)	How can a Pope speak beyond a Bible. The Bible clearly says this: If a man lies with a male as with a woman, both of them have committed an abomination. 	66:107	0:153	If a man lies with a male as with a woman
308_(Leviticus 20:13)	Pope Francis ain't God.. he's a human being who yearns to impress everyone. IMPOSSIBLE! If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. So, says Jehovah God!!	88:129	0:258	If a man lies with a male as with a woman
302_(Leviticus 20:13)	If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. You need Jesus. Pray for discernment.	0:41	0:185	If a man lies with a male as with a woman
316_(Leviticus 20:13)	Fact check: the school was taking steps to reduce LGBT+ bullying. The claimant then decided to give a series of anti-LGBT+ assemblies. He read to the school: "if a man lies with a male as with a woman, both of them have committed an abomination; they shall be put to death."	159:200	0:274	If a man lies with a male as with a woman
312_(Leviticus 20:13)	LIGHTING, FIRE AND EARTHQUAKE ON THE POPE that spoke beyond a Bible. Long life to: "If a man lies with a male as with a woman, both of them have to die"	84:125	0:152	If a man lies with a male as with a woman
315_(Leviticus 20:13)	If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. I don't think there's any mention about lesbians being an abonination	0:41	0:217	If a man lies with a male as with a woman
306_(Leviticus 20:13)	When a billion people follow the old book and it says this... If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. You have to question their intelligence	62:103	0:249	If a man lies with a male as with a woman
309_(Leviticus 20:13)	I think pope should negate the whole bible for once. 😍😉5 As Bible Says : If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them.	73:114	0:220	If a man lies with a male as with a woman
307_(Leviticus 20:13)	Leviticus 20:13 If a man lies with a male as with a woman, both of them have committed an abomination. I don't know what I want from the Church, but this is why when I was a better Catholic I would tell myself that only the New Testament meant anything	16:57	0:252	If a man lies with a male as with a woman
321_(Leviticus 20:13)	God loves homosexuals just hates what they do. Look up abomination. Worst word ever written. "if a man lies with a male as with a woman, both of them have committed an abomination"	94:135	0:180	If a man lies with a male as with a woman
322_(Leviticus 20:13)	Please explain? Old Testament: "You shall not lie with a male as with a woman; it is an abomination" (Lev. 18:22). "If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death"	116:157	0:237	If a man lies with a male as with a woman
317_(Leviticus 20:13)	I am Catholic and support LGBT. Many things the bible preaches is deemed prosocial in today's society. (e.g. If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death) So which bits ok.?? Do you support death over love??	109:150	0:283	If a man lies with a male as with a woman
323_(Leviticus 20:13)	Provide source please. Also, what is your view of God here? Is he evil, in your opinion? If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. 	89:130	0:237	If a man lies with a male as with a woman
327_(Leviticus 20:13)	If a man lies with a male as with a woman...; they shall surely be put to death. WHAT THE FUCK BIBLE THIS IS WRONG.	0:41	0:115	If a man lies with a male as with a woman
313_(Leviticus 20:13)	In Christianity it has happened with leaders coming forward after years of "If a man lies with a male as with a woman, both of them have committed an abomination". According to Pope Francis & others homosexuality is not a crime but remains a sin. Do you think this kind of acceptance is possible by the Islamic leaders?	76:117	0:319	If a man lies with a male as with a woman
318_(Leviticus 20:13)	Agree we must love each other. However, let's not pretend Bible doesn't condemn Homosexuality. "If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them."	96:137	0:244	If a man lies with a male as with a woman
326_(Leviticus 20:13)	Can you explain this one for me? "If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them"	34:75	0:181	If a man lies with a male as with a woman
