lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				143_(1 Samuel 16:7)-c1		With doors that are open you have NO idea what is on the other side. Never judge an opportunity by the quality of a door. I promise you you could miss out on something amazing if you do that. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	192:315	0:316
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				141_(1 Samuel 16:7)-c2		If someone believes that they're not the correct gender, what's stopping them from transitioning? The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	98:221	0:222
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				136_(1 Samuel 16:7)-c1		But the Lord said to Samuel: Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. God can not prejudge 😍🙏	100:223	0:248
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				137_(1 Samuel 16:7)-c2		A person's gender identity/sexual identity should never be a hindrance for their ministry involvement. 1 samuel 16:7 said that The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. Gay peple have the same rights as straight ppl in comes to serving Him	127:250	0:322
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				140_(1 Samuel 16:7)-c2		Transgender people don't believe God made a mistake. We believe the doctor who assigned our gender at birth did. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	113:236	0:237
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				139_(1 Samuel 16:7)-c2		Transgender people don't believe God made a mistake. We believe the doctor who assigned our gender at birth did. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	113:236	0:237
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				136_(1 Samuel 16:7)-c2		The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. It's odd you feel like God is speaking to you about a gay person's relationship with him more than the gay person themselves.	0:123	0:250
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				137_(1 Samuel 16:7)-c1		When God measures a person, He puts the tape around the heart instead of the head. Don't judge by a man's face or height or sex... Men judge by outward appearance, but I look at a man's thoughts and intentions. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart	211:334	0:334
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				138_(1 Samuel 16:7)-c2		The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. The sex of a person may be culturally determined by externals, but gender is a matter of the heart.	0:123	0:224
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				138_(1 Samuel 16:7)-c1		Show me the scripture passages where the primary evaluating determinate of someone's behavior or worth is race, gender, or ethnicity (i.e. as in CRT.) YOU have distorted the Gospel. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	182:305	0:306
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				145_(1 Samuel 16:7)-c1		For The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. When we begin to see people through God's eyes, our focus will change from looks to life	4:127	0:217
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				141_(1 Samuel 16:7)-c1		Look Like Jesus but it's Chris Caine: It's easy to look at those around us with judgment based on their faults or flaws. It can give us the false freedom to do nothing to help them. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart	182:305	0:305
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				135_(1 Samuel 16:7)-c1		Lmao, judging others based on appearance is very christian of you.'.. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.'	70:193	0:195
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				146_(1 Samuel 16:7)-c2		"How I know God isn't racist...""for The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."" The Almighty doesn't care if you are red, green, purple, black or white. As long as you obey His word"	35:158	0:262
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				146_(1 Samuel 16:7)-c1		The Heart Above All. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart	21:144	0:144
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				142_(1 Samuel 16:7)-c1		"But the Lord said to Samuel, ""Do not consider his appearance or his height, for I have rejected him. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."" God reveals the difference between himself and the world here when it comes to judging people. Man looks at appearance. This is why humankind spends so much time, energy, and money to look like a person of status."	101:224	0:440
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				144_(1 Samuel 16:7)-c2		Since you appear to be a man of faith, check out 1 Samuel 16:7: The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. That passage has been interpreted by some to mean that trans people should be true to themselves. The people that fixate on genitals don't see what God sees.	64:187	0:346
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				147_(1 Samuel 16:7)-c2		"Transgender people don't believe God made a mistake. We believe the doctor who assigned our gender at birth did. ""For The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."" Hope this helps! <3"	118:241	0:263
